"module name","license","repository"
"@contentstack/cli-audit@1.19.5","MIT","https://github.com/contentstack/audit"
"@contentstack/cli-auth@1.8.4","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-cm-bootstrap@1.19.7","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-cm-branches@1.8.3","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-cm-bulk-publish@1.12.1","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-cm-clone@1.21.9","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-cm-export-to-csv@1.12.6","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-cm-export@1.25.3","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-cm-import-setup@1.8.6","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-cm-import@1.33.5","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-cm-migrate-rte@1.7.2","MIT","https://github.com/contentstack/cli-plugins"
"@contentstack/cli-cm-seed@1.15.8","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-command@1.8.4","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-config@1.20.5","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-launch@1.11.1","MIT","https://github.com/contentstack/launch-cli"
"@contentstack/cli-migration@1.12.4","MIT","https://github.com/contentstack/cli"
"@contentstack/cli-utilities@1.18.5","MIT",""
"@contentstack/cli-variants@1.6.0","MIT",""
"@contentstack/cli@1.65.0","MIT","https://github.com/contentstack/cli"
"@contentstack/core@1.4.1","MIT","https://github.com/contentstack/contentstack-js-core"
"@contentstack/delivery-sdk@5.4.0","MIT",""
"@contentstack/json-rte-serializer@2.1.0","MIT","https://github.com/contentstack/json-rte-serializer"
"@contentstack/live-preview-utils@4.4.5","MIT","https://github.com/contentstack/live-preview-sdk"
"@contentstack/management@1.30.4","MIT","https://github.com/contentstack/contentstack-management-javascript"
"@contentstack/marketplace-sdk@1.5.4","MIT","https://github.com/contentstack/contentstack-marketplace-sdk"
"@contentstack/utils@1.9.1","MIT","https://github.com/contentstack/contentstack-utils-javascript"
"@csstools/color-helpers@5.1.0","MIT-0","https://github.com/csstools/postcss-plugins"
"@csstools/color-helpers@6.1.0","MIT-0","https://github.com/csstools/postcss-plugins"
"@csstools/css-calc@2.1.4","MIT","https://github.com/csstools/postcss-plugins"
